dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-01-01,55,5,6,1,26,36,23,5,13,1,45,1387,63,42
2016-02-01,6,0,3,0,4,37,3,0,1,1,7,201,31,11
2016-03-01,2,0,1,0,4,7,2,1,2,1,10,43,12,22
2016-04-01,2,0,1,0,1,11,1,1,0,0,12,24,6,11
2016-05-01,0,0,0,0,0,0,1,0,0,0,0,15,1,9
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,17,2,18
2016-07-01,0,0,0,0,1,2,1,1,0,0,4,12,5,13
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,65,9,9
2016-09-01,1,0,1,0,4,33,5,2,0,0,7,21,0,11
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,17,4,4
2016-11-01,0,0,0,0,1,2,0,0,0,0,0,9,4,11
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,30,4,11
2017-01-01,0,0,0,0,1,0,0,1,0,0,0,17,8,9
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,12,5,8
2017-03-01,2,0,1,0,5,15,0,0,2,1,1,14,4,8
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,14,5,7
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,6,0,6
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,9,3,7
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,4,3,7
2017-08-01,0,0,0,0,1,4,1,0,0,0,1,7,1,7
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,6,0,4
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,5,1,8
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,4,3,6
2017-12-01,1,0,1,0,0,0,0,0,0,0,0,10,3,5
2018-01-01,0,0,0,0,1,0,1,0,1,1,0,7,3,3
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,7,1,7
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,5,6,5
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,10,1,2
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1
2018-06-01,0,0,0,0,0,0,0,0,0,0,0,1,2,2
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,4,2,4
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,4,3,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,0,2,1,2
2018-10-01,0,0,0,1,0,1,0,0,0,0,0,4,2,7
2018-11-01,6,0,1,4,25,78,0,8,0,0,19,674,32,4
2018-12-01,9,0,1,1,13,41,0,0,0,0,0,134,11,2
2019-01-01,0,0,0,1,0,1,0,0,0,0,0,63,5,0
2019-02-01,0,0,0,1,0,1,0,0,0,0,0,15,3,0
2019-03-01,3,0,2,5,1,10,0,0,0,0,0,25,9,3
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,10,4,1
2019-05-01,4,0,2,3,1,4,0,0,0,0,0,58,17,1
